Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
U2996	5709	1323	15687	8946.5	2206	15687
U2997	4125	1104	16833	9445	2057	16833
U2998	5599	321	17733	9027	321	17733
U2999	912	0	23857	11928.5	0	23857
U3000	5794	1472	12592	7531	2470	12592
U3001	3929	1156	12789	7285.5	1782	12789
U3002	5971	455	12890	6719	548	12890
U3003	77	0	4197	0	0	0
U3004	6928	747	14313	7530	747	14313
U3005	6542	468	13750	7109	468	13750
U3006	6821	1432	12561	6996.5	1432	12561
U3007	6124	1883	13848	8128.5	2409	13848
U3008	5651	2187	13846	8776	3706	13846
U3009	5972	1461	11471	6718.5	2299	11138
U3010	5689	1510	10750	6151.5	1785	10518
U3011	6522	601	18925	9773	762	18784
U3012	5471	915	11691	6456	1221	11691
U3013	7242	1248	13143	7253.5	1364	13143
U3014	3949	18	11914	5966	18	11914
U3015	5041	929	10716	5721.5	1056	10387
U3016	4095	351	18645	9508	371	18645
U3017	4805	584	20344	10464	584	20344
U3018	5911	765	21705	11351	1053	21649
U3019	8864	900	14592	7458.5	900	14017
U3020	5783	1165	17801	10111.5	2422	17801
U3021	3827	858	13249	7154	1325	12983
U3022	4629	528	15902	8523.5	1145	15902
U3023	4555	316	21894	11105	316	21894
U3024	4258	301	11319	5790	301	11279
U3025	4129	258	10537	5397.5	258	10537
U3026	5933	504	13508	6945.5	504	13387
U3027	6408	673	13705	7189	673	13705
U3028	5220	917	11392	6136	1070	11202
U3029	5992	1202	13023	7125	1429	12821
U3030	1812	10	27483	12391.5	647	24136
U3031	6527	1693	13975	7860	1745	13975
U3032	4071	954	17975	9833.5	1692	17975
U3033	4728	167	21181	10674	167	21181
U3034	3401	570	22688	11763	838	22688
U3035	3973	1368	21051	11558.5	2066	21051
U3036	4630	824	22848	11977	1106	22848
U3037	5411	1254	23602	12899	2196	23602
U3038	16641	432	65535	32983.5	432	65535
U3039	8667	15	65535	32775	15	65535
U3040	870	0	44547	22273.5	0	44547
U3041	13538	875	65535	33294	1053	65535
U3042	10987	43	65535	32789	43	65535
U3043	727	0	27366	13683	0	27366
U3044	6155	18	65535	32776.5	18	65535
U3045	3717	5	65535	32770	5	65535
U3046	9450	15	65535	32775	15	65535
U3047	4378	6	65535	32770.5	6	65535
U3048	7	0	190	95	0	190
U3049	9424	143	65535	32839	143	65535
U3050	3213	8	16859	8433.5	8	16859
U3051	294	0	8811	4405.5	0	8811
U3052	12	0	441	220.5	0	441
U3053	5116	68	63352	31730	108	63352
U3054	802	0	10651	2436	0	4872
U3055	429	0	11965	5982.5	0	11965
U3056	25	0	650	325	0	650
U3057	5189	28	65535	32781.5	28	65535
U3058	2763	14	22234	11124	14	22234
U3059	783	2	65535	32768.5	2	65535
U3060	10957	25	65535	32780	25	65535
U3061	64	0	540	270	0	540
U3062	4860	8	65535	32771.5	8	65535
U3063	52	0	621	310.5	0	621
U3064	10	0	721	360.5	0	721
U3065	7395	40	65535	32787.5	40	65535
U3066	80	10	360	185	10	360
U3067	2416	6	65535	32770.5	6	65535
U3068	49	0	754	377	0	754
U3069	2613	2	31074	15538	2	31074
U3070	9780	129	65535	32832	129	65535
U3071	95	0	820	410	0	820
U3072	9875	95	65535	32815	95	65535
U3073	2778	10	59063	29536.5	10	59063
U3074	89	0	946	473	0	946
U3075	12950	2163	65535	33849	2163	65535
U3076	60	8	421	216	11	421
U3077	4554	435	21967	11201	435	21967
U3078	1	0	67	27.5	0	55
U3079	246	53	1507	780	53	1507
U3080	1007	6	65535	32770.5	6	65535
U3081	4582	12	43100	21556	12	43100
U3082	0	0	82	41	0	82
U3083	1858	0	56803	28401.5	0	56803
U3084	44	0	567	283.5	0	567
U3085	17806	4033	50411	27438	4465	50411
U3086	26778	3314	53890	28602	3314	53890
U3087	375	0	32129	16064.5	0	32129
U3088	28	0	480	240	0	480
U3089	10	0	343	171.5	0	343
U3090	6	0	273	136.5	0	273
U3091	4595	73	65535	32889	243	65535
U3092	4	0	457	228.5	0	457
U3093	630	5	21664	10834.5	5	21664
U3094	90	0	983	491.5	0	983
U3095	766	0	27666	13834.5	3	27666
U3096	12	0	568	284	0	568
U3097	5359	10	65535	32772.5	10	65535
U3098	10	0	370	185	0	370
U3099	333	0	24728	12364	0	24728
U3100	0	0	549	274.5	0	549
U3101	933	7	8357	4182	7	8357
U3102	3638	0	21023	10511.5	0	21023
U3104	54	0	1846	923	0	1846
U3105	47	0	533	266.5	0	533
U3106	1286	0	28729	14364.5	0	28729
U3107	11	0	354	177	0	354
U3108	564	0	15529	7764.5	0	15529
U3109	129	32	600	316	32	600
U3110	135	0	3271	0	0	0
U3111	2	0	96	48	0	96
U3113	0	0	123	61.5	0	123
U3114	3	0	151	75.5	0	151
U3115	95	0	3496	1748	0	3496
U3116	6	0	236	118	0	236
U3117	13	0	330	165	0	330
U3118	83	0	446	223	0	446
U3119	10028	20	65535	32777.5	20	65535
U3120	2400	4	16171	8087.5	4	16171
U3121	5	0	286	143	0	286
U3122	684	0	20869	10434.5	0	20869
U3123	99	0	538	269	0	538
U3124	770	0	34750	17375	0	34750
U3125	49	0	280	140	0	280
U3126	26	0	282	141	0	282
U3127	2	0	80	40	0	80
U3128	3937	15	65535	32775	15	65535
U3129	3642	3	65535	32769	3	65535
U3130	2160	2	56170	28086	2	56170
