Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
07243233	2392	6	4930	1508	179	2771
07243234	2699.5	0	5209	2064	70	3556
07243235	415	0	2108	446	0	687
07263001	1885	9	4962	1766	13	3250
07263180	2722.5	15	6980	2393	1640	4035
07263181	3261.5	14	7641	2793	1749	4306
07263182	3019	16	6671	2019	1102	3201
07263183	3109	9	7628	2478	1777	4348
07263184	1384	9	2855	929	135	1598
07263185	3140	21	6291	2013	256	3960
07263186	2249	9	5608	1865	1208	3078
07263187	1931	7	6456	2168	10	3749
07263188	1072	0	8085	2520.5	0	4014
07263189	3026.5	13	6379	2059	954	3051
07263190	1370	0	6807	2307	0	3659
07263191	2126	10	4371	1418.5	325	2362
07273106	2009	8	4197	1382	707	2133
07283010	2151	0	6508	2854	1	5194
07283011	2295	8	4925	1497	491	2424
07283012	2164	18	4352	1431	40	2443
07283013	1649	10	3853	1182	629	1945
07283014	1415	1	3390	1063	611	1688
07283015	2342	5	5128	1526	324	2873
07283016	1740	6	3607	1146	304	1824
07283017	3044.5	9	6602	2004	199	4052
07283018	723.5	0	3081	927.5	0	1304
07283019	2102	8	4809	1448.5	713	2335
07283020	2971	10	6720	2074	1038	3278
07283021	2383	3	5018	1538.5	230	2747
07283022	2360	9	5157	1584	217	2793
07283023	2042	5	5175	1653.5	15	2872
07283024	2843	15	6804	2145.5	1298	3329
07283025	2441.5	6	5789	1775	940	2839
07283026	1960	3	4214	1276	231	2282
07283028	2772	8	6194	1890.5	98	3590
07283029	3059	12	6687	2144	978	3254
07283030	2750	10	6300	1965.5	68	3756
07283031	2785	14	6015	1957	945	2966
07283032	3113.5	12	6452	2098	829	3499
07283033	2316	18	5036	1664	454	2656
07283034	2359	8	6254	2121.5	12	3660
07283035	2789	13	5788	1788	424	3141
07283036	1780.5	6	3974	1181	394	1989
07283037	2983.5	5	6520	1974	137	3719
07283038	1330.5	0	3665	1156	4	1864
07283039	623	1	1567	451	254	733
07283040	799	0	5656	1316	0	2131
