Sample	Spike_median_coverage	Spike_min_coverage	Spike_max_coverage	RBD_median_coverage	RBD_min_coverage	RBD_max_coverage
U3101	800	2	4356	1687	2	2723
U3102	1769	0	7890	2782.5	0	4867
U3104	182	0	1515	628	0	1007
U3105	105	0	487	215	0	304
U3106	1104	0	8972	3797	0	6774
U3107	92.5	0	385	148	0	187
U3108	650	0	6552	1333	0	2786
U3109	278	0	544	258	15	400
U3110	318	0	2368	1655	0	2368
U3111	31	0	118	25	0	65
U3112	711	0	11977	2752	0	5000
U3113	52.5	0	143	38	0	57
U3114	40	0	170	11	0	96
U3115	463.5	0	2505	792.5	0	1074
U3116	34	0	228	36	0	109
U3117	73	0	336	118.5	0	183
U3118	138	0	449	189	0	237
U3119	3616.5	0	13028	3873	6	6809
U3120	1689	0	6789	2414	1	4100
U3121	106	0	333	112	0	163
U3122	630	0	7995	3097	0	5187
U3123	111	0	546	132	0	251
U3124	1475	0	10076	3069	0	4811
U3125	70	0	291	78	0	142
U3126	60	0	307	58.5	0	143
U3127	29	0	98	31	0	50
U3128	2532.5	2	14776	5792.5	5	10150
U3129	2416	0	16848	6107	0	10370
U3130	1711.5	0	12478	5203	0	8788
U3131	1180	1	10392	4005.5	1	6624
U3132	1620.5	0	8941	2023.5	0	3649
U3133	1406	0	9010	2800	0	4156
U3134	1305.5	0	7238	548.5	0	2759
U3135	2422.5	0	8899	3601.5	0	5985
U3136	2224	0	11144	3209	0	4708
U3137	1648	0	8844	2530	2	4237
U3138	4222.5	0	15060	6189	8	11166
U3139	2711	2	8151	2554	6	4263
U3140	2355	0	7430	2340	5	3750
U3141	2733	0	6489	2131	14	3651
U3142	3483	0	8545	3001	67	5550
U3143	2420	0	8839	3124	0	4811
U3144	3021	4	8472	3144	28	5836
U3145	2606	0	6601	2611	23	4530
U3146	927.5	0	8193	1843.5	0	3400
U3147	3679	9	7627	2389.5	56	4507
U3148	2734	0	6701	2296	4	3710
U3149	3477.5	2	7680	2856	43	5165
U3150	3069	7	6841	2307.5	39	4145
U3151	3575	3	9626	3493.5	29	6349
U3152	2499	8	7397	2511	29	4513
U3153	2567.5	1	8227	3015.5	1	4866
U3154	3148	0	8746	3000	67	5575
U3155	3639	1	7462	2372.5	144	5084
U3156	3661	1	8523	2818.5	21	4984
U3157	3695	3	8952	2925	55	5700
U3158	3729	4	7896	2726	133	5254
U3159	2305.5	2	8286	3092	22	5406
U3160	2895	19	9855	3593.5	19	6528
U3161	3474.5	2	8868	2889	71	6339
U3162	2855.5	0	8500	2992	33	5416
U3163	3226.5	4	7290	2469.5	133	5015
U3164	3326	1	7905	2265	70	4105
U3165	3057	0	7155	2421	94	5045
U3166	2635	8	7387	2380.5	8	4061
U3167	1800.5	0	6333	2423	14	4178
U3168	2238	5	7185	2536	10	4315
U3169	2775.5	0	7948	2951	93	5650
U3170	2905	1	6941	2358	118	4520
U3171	1219	0	8152	1454.5	0	3502
U3172	1062	0	7443	2209	0	3101
U3173	3557.5	2	8938	2870.5	57	5087
U3174	1444	0	9237	2878	0	4222
U3175	846	0	9369	2917	0	4224
U3176	1051	0	9912	1731.5	0	4255
U3177	2016	0	11656	2975	0	5061
U3178	1232.5	0	3215	1431.5	0	2181
U3179	1863	0	11735	3800	0	5662
U3180	3017	3	9043	3158.5	7	5355
U3181	2650	5	8451	2531	8	4019
U3182	3200	1	7366	2348	39	4320
U3183	1687.5	0	9086	2889	2	4453
U3184	1258	0	11036	2339	0	4703
U3185	2294	0	10999	4007.5	0	6114
U3186	1228.5	0	8257	1825	0	3277
U3187	3769	3	8254	2854	96	5507
U3188	3849	6	7329	2332.5	394	4855
U3189	2709	4	8140	2738	4	4517
U3190	3606	3	7188	2340	331	4652
U3191	2274	0	10253	3519.5	0	5349
U3192	2268	17	8764	3555.5	17	6432
U3193	3359	3	9065	3493.5	50	6566
U3194	2135	0	8615	2325	0	3574
U3195	2055	0	9080	2928	0	4399
U3196	2758	4	6748	2323.5	14	3983
U3197	2153	1	7023	1653	3	2752
U3198	3165	3	6705	1877	87	3634
U3199	2094.5	2	9860	3061	2	4754
U3200	3491	11	8022	2807	247	5939
U3201	3016	3	9056	3133	16	5736
U3202	2729	6	7468	2551	34	4593
U3203	3168	8	7163	2331	85	4740
U3204	3357	6	7315	2368	160	4764
U3205	4023	2	8057	2495.5	224	5013
U3206	3450.5	10	7231	2251.5	210	4643
U3207	2258	0	6588	386	168	2406
U3208	3156	4	8268	2793	83	5866
U3209	3398	1	11193	4141	1	6910
U3210	2612	1	7881	2560	6	4439
U3211	3488	1	7948	2688.5	25	4978
U3212	3328.5	0	7949	2409	13	4182
U3213	2884.5	3	6709	2004.5	78	3822
U3214	2614	5	7711	2337.5	5	3672
U3215	1784	0	5270	397	2	2096
U3216	3170	0	7700	2459	187	5511
U3217	2464	1	8392	2826	6	4615
U3218	2749	1	8055	2588	7	4458
U3219	3335	2	7802	2570	47	4775
U3220	3108	4	8233	2627	27	4749
U3221	3238.5	3	6448	2085	451	3973
U3222	3130	10	6223	1947.5	281	3871
U3223	2324	0	8313	3104	0	5017
U3224	3023	2	7127	2355	93	4679
U3225	3315	0	9117	3044	15	5404
U3226	3088	2	6726	2207	118	4295
